iter	Logloss
0	0.6828521329
1	0.672281938
2	0.6584796493
3	0.6502287792
4	0.6412969353
5	0.6358554376
6	0.6286921517
7	0.6255161873
8	0.6178701917
9	0.6110580416
10	0.6059675458
11	0.599835781
12	0.5950928753
13	0.5903962715
14	0.5863258652
15	0.5818767174
16	0.5781919722
17	0.5751584637
18	0.5715217853
19	0.5683840984
20	0.5656480816
21	0.5627562048
22	0.5599419725
23	0.5578246935
24	0.555275013
25	0.5522250589
26	0.5488639625
27	0.5463830427
28	0.544895619
29	0.543135009
30	0.5405761181
31	0.537529743
32	0.5349875866
33	0.5330569339
34	0.5307804072
35	0.5287938617
36	0.5275723997
37	0.5259023983
38	0.5241063734
39	0.5225090885
40	0.521026003
41	0.5195039689
42	0.5174424875
43	0.5156946156
44	0.5151056669
45	0.5138121884
46	0.5116492675
47	0.5097000012
48	0.5079344756
49	0.5064094993
50	0.5051260878
51	0.5045110788
52	0.502954809
53	0.5019495628
54	0.4997470017
55	0.4992761261
56	0.4977438565
57	0.4968508168
58	0.4955514392
59	0.4947539491
60	0.4937108083
61	0.49287528
62	0.4917672839
63	0.4908190744
64	0.4901806768
65	0.4893999745
66	0.4878250265
67	0.486995668
68	0.4863134877
69	0.4852884918
70	0.4845733005
71	0.483714105
72	0.4825648448
73	0.4817783412
74	0.4807062617
75	0.4794546304
76	0.4787988986
77	0.4777468759
78	0.4766842051
79	0.4759737251
80	0.4753037061
81	0.4740240895
82	0.4734041154
83	0.4726878152
84	0.4720523416
85	0.4712226839
86	0.4702302634
87	0.4693762025
88	0.468283845
89	0.4673881656
90	0.4664854962
91	0.466099117
92	0.4659429545
93	0.4651772386
94	0.4647624157
95	0.4640353104
96	0.4635327544
97	0.462257731
98	0.4615499829
99	0.4611137326
100	0.4603616916
101	0.4592253653
102	0.4577675397
103	0.4564956015
104	0.4556833624
105	0.4547288247
106	0.4538336
107	0.4532168783
108	0.4525582265
109	0.4515886999
110	0.4510546578
111	0.4499240931
112	0.4497294177
113	0.4488233889
114	0.4478343626
115	0.4473645724
116	0.4465870414
117	0.4458911512
118	0.4453214764
119	0.4445890718
120	0.4441167024
121	0.4433716851
122	0.4425595891
123	0.4412048118
124	0.4407180835
125	0.4397075295
126	0.4391357229
127	0.4383440531
128	0.4376189359
129	0.437020469
130	0.4360078221
131	0.4353926289
132	0.4347108124
133	0.4338636935
134	0.4330017093
135	0.4325752588
136	0.4321928227
137	0.4313340206
138	0.4307031437
139	0.4301027076
140	0.4295808498
141	0.4289329555
142	0.4284202507
143	0.4270774122
144	0.4266079331
145	0.4257804175
146	0.4243841367
147	0.4235241498
148	0.4229045075
149	0.4220963895
150	0.4209622827
151	0.4201357132
152	0.4195668664
153	0.4189696624
154	0.4182379056
155	0.4171363909
156	0.4162715431
157	0.4154381354
158	0.4144434266
159	0.4135039925
160	0.4127239713
161	0.4120937796
162	0.4114750951
163	0.4109610967
164	0.4097905298
165	0.4092101701
166	0.4082250837
167	0.4071192025
168	0.4060786206
169	0.405413943
170	0.4035566177
171	0.402763374
172	0.4019610931
173	0.4008441589
174	0.3992584908
175	0.3986127955
176	0.3979253526
177	0.3968431493
178	0.3959635344
179	0.3953994305
180	0.3946445561
181	0.3933665394
182	0.3925113392
183	0.3912463871
184	0.3899328014
185	0.3889671945
186	0.3882103863
187	0.3871508719
188	0.386402909
189	0.3853958251
190	0.3844561837
191	0.3837672988
192	0.3824414074
193	0.381467388
194	0.380562314
195	0.3796070753
196	0.3787537682
197	0.3782135797
198	0.3775685793
199	0.3767340524
200	0.3758987626
201	0.374954645
202	0.3740847324
203	0.3732715034
204	0.3725488434
205	0.3719517031
206	0.3710588923
207	0.3701889604
208	0.369230873
209	0.3683973774
210	0.36732389
211	0.3665837247
212	0.3661004028
213	0.3654379844
214	0.3645728276
215	0.3632920182
216	0.3625063867
217	0.3615285592
218	0.3608005727
219	0.3599731571
220	0.359186506
221	0.358159823
222	0.3574275738
223	0.3569639627
224	0.3562350787
225	0.3554242337
226	0.354697744
227	0.3539238791
228	0.3531377406
229	0.3524391216
230	0.3517277793
231	0.3508098768
232	0.3499790743
233	0.3496081034
234	0.348730367
235	0.3481232157
236	0.3474449396
237	0.3464738003
238	0.3460384682
239	0.3455238362
240	0.3449113785
241	0.3443063283
242	0.3434402248
243	0.342873394
244	0.3421142918
245	0.3415619297
246	0.3408767541
247	0.3400316179
248	0.3393998243
249	0.338569707
250	0.3380387771
251	0.3373122824
252	0.3362854691
253	0.3359367004
254	0.3353942628
255	0.334655744
256	0.3341166453
257	0.3335799016
258	0.332958202
259	0.3321747455
260	0.3314168986
261	0.3307824663
262	0.3301766118
263	0.3298947109
264	0.3292724912
265	0.328602242
266	0.3281905567
267	0.3275716567
268	0.326971396
269	0.3264283141
270	0.3259360626
271	0.325169753
272	0.3246405755
273	0.3241584191
274	0.323596894
275	0.3232537814
276	0.3226268261
277	0.3221724052
278	0.321628148
279	0.3211406842
280	0.3204621639
281	0.3199125177
282	0.3192826713
283	0.3187678858
284	0.3182123378
285	0.3173457298
286	0.3169667536
287	0.3164290644
288	0.3159668557
289	0.3154503752
290	0.314921266
291	0.3143145698
292	0.3135317398
293	0.3129907792
294	0.312407902
295	0.3117634198
296	0.311290173
297	0.3105978683
298	0.3101304691
299	0.3094564496
